기준연월,고객광역시군구명,전체이용건수,전체이용금액
202001,경기도,1053776,32249099617
202001,경상북도,64923,1964695774
202002,부산광역시,66229,2193355845
202002,서울특별시,464132,15247479518
202003,대구광역시,50466,1547119246
202003,전라남도,41246,1396466802
202003,제주특별자치도,8363,271799422
202004,경상남도,77397,2298299126
202004,광주광역시,39595,1147726291
202004,대전광역시,248675,8231663571
202005,세종특별자치시,89112,2917286255
202005,울산광역시,29963,878252496
202005,인천광역시,213576,5742513754
202005,전라북도,118396,3559291612
202005,충청북도,127195,3712970904
202006,강원도,31313,811367647
202006,경기도,1199826,33849323464
202006,경상북도,71309,1924559276
202007,부산광역시,80053,2369778513
202007,서울특별시,638236,20695527139
202008,대구광역시,62773,1687338267
202008,전라남도,48694,1435044757
202008,제주특별자치도,9963,255453556
202009,경상남도,83144,2517964500
202009,광주광역시,41605,1245463818
202009,대전광역시,249742,8726910482
202010,강원도,29256,790280954
202010,경기도,1241516,35931474128
202010,경상북도,71890,2093889331
202011,부산광역시,77444,2394129043
202011,서울특별시,610216,20967227481
202012,대구광역시,53814,1497497898
202012,전라남도,39977,1275593732
202012,제주특별자치도,7658,203297848
202101,부산광역시,68683,2352100016
202101,서울특별시,462858,15275426330
202102,대구광역시,47497,1465415521
202102,전라남도,36574,1198161044
202102,제주특별자치도,7428,198645739
202103,경상남도,86024,2548882683
202103,광주광역시,40591,1211688625
202103,대전광역시,229803,8396230306
202104,세종특별자치시,76025,2699444818
202104,울산광역시,30780,933323941
202104,인천광역시,203407,5982697349
202104,전라북도,107751,3473731498
202104,충청북도,107675,3607775199
202105,강원도,30425,803833914
202105,경기도,1204142,36465336136
202105,경상북도,72253,2105257177
202106,부산광역시,87125,2601825889
202106,서울특별시,634227,21448935789
202107,대구광역시,63374,1877562051
202107,전라남도,49345,1604974989
202107,제주특별자치도,9091,245391837
202108,경상남도,87294,2460173370
202108,광주광역시,42502,1318773221
202108,대전광역시,249116,8468000448
202109,세종특별자치시,71956,2693018707
202109,울산광역시,30613,932583488
202109,인천광역시,209994,6239722552
202109,전라북도,104409,3535234463
202109,충청북도,107441,3778956961
202110,부산광역시,86455,2661213260
202110,서울특별시,641003,22465575612
202111,대구광역시,59761,1920663385
202111,전라남도,45973,1645874977
202111,제주특별자치도,8559,253817596
202112,경상남도,77811,2445811952
202112,광주광역시,39143,1323305745
202112,대전광역시,193643,7490520627
202201,대구광역시,50759,1667500627
202201,전라남도,36774,1336022940
202201,제주특별자치도,7266,240634417
202202,경상남도,63595,1922193024
202202,광주광역시,31879,1038963476
202202,대전광역시,161831,5809700883
202203,세종특별자치시,70028,2944036785
202203,울산광역시,28120,859880845
202203,인천광역시,183884,5844863215
202203,전라북도,96754,3534542952
202203,충청북도,97629,3470773692
202204,강원도,29264,829891078
202204,경기도,1189668,39127262478
202204,경상북도,69385,2265102166
202205,부산광역시,91295,2798125661
202205,서울특별시,703864,24459924610
202206,대구광역시,68300,2059622365
202206,전라남도,49056,1674014380
202206,제주특별자치도,9463,272835133
202207,경상남도,93941,2981687339
202207,광주광역시,48089,1573396992
202207,대전광역시,258933,9679670856
202208,세종특별자치시,81990,3232446749
202208,울산광역시,32695,1010682377
202208,인천광역시,217371,6992511141
202208,전라북도,117226,4036424221
202208,충청북도,120927,4366235431
202209,강원도,32253,879178730
202209,경기도,1356287,42384979294
202209,경상북도,73644,2366164655
202210,대구광역시,73917,2313322943
202210,전라남도,53552,1791805029
202210,제주특별자치도,10273,304502893
202211,경상남도,91720,2914513930
202211,광주광역시,46284,1439386766
202211,대전광역시,228498,8787580031
202212,세종특별자치시,67666,2942034767
202212,울산광역시,28510,893158158
202212,인천광역시,171443,5490216965
202212,전라북도,100872,3748909755
202212,충청북도,96607,3709879408
202301,경상남도,80889,2475755351
202301,광주광역시,41196,1249376247
202301,대전광역시,202517,7392165162
202302,세종특별자치시,64573,2572019208
202302,울산광역시,26273,834611510
202302,인천광역시,155180,4991824455
202302,전라북도,98814,3388831485
202302,충청북도,93421,3280470521
202303,강원도,29295,781755413
202303,경기도,1169521,36520980634
202303,경상북도,70663,2093551555
202304,부산광역시,100549,2942007317
202304,서울특별시,730997,23051933231
